City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,broome,42.2506,-75.833,25.1,70,100,5.14,US,1686586701
251,naze,28.3667,129.4833,23.51,88,77,0.67,JP,1686586646
252,manadhoo,5.7667,73.3833,28.79,78,95,8.06,MV,1686586702
253,auki,-8.7676,160.7034,25.45,88,40,1.94,SB,1686586702
254,i-n-salah,27.1935,2.4607,44.36,5,0,6.82,DZ,1686586703
255,arenapolis,-14.4503,-56.8461,29.69,53,8,2.91,BR,1686586703
256,bundaberg north,-24.8551,152.3425,15.12,99,5,0.45,AU,1686586655
257,quezon,7.7303,125.0989,23.09,94,8,0.44,PH,1686586703
258,pisco,-13.7,-76.2167,23.03,56,0,4.12,PE,1686586704
259,waspan,14.7419,-83.9717,30.6,72,87,2.1,NI,1686586704
260,zliten,32.4674,14.5687,23.73,68,0,7.25,LY,1686586704
261,ceeldheer,3.8488,47.1806,26.68,78,71,11.71,SO,1686586642
262,wailua homesteads,22.0669,-159.378,22.44,92,75,5.66,US,1686586645
263,viqueque,-8.8673,126.3658,24.01,78,37,2.13,TL,1686586704
264,siwa oasis,29.2041,25.5195,39.4,15,0,4.83,EG,1686586704
265,toamasina,-18.1667,49.3833,23.0,88,20,0.51,MG,1686586704
266,hadibu,12.65,54.0333,28.66,77,100,7.11,YE,1686586647
267,jawhar,2.7809,45.5005,25.91,74,15,8.45,SO,1686586704
268,moyale,3.5167,39.0584,22.5,46,99,2.45,KE,1686586704
269,sao joao da barra,-21.6403,-41.0511,31.05,60,0,3.79,BR,1686586652
270,natchez,31.5604,-91.4032,29.03,78,100,2.57,US,1686586705
271,tougan,13.0667,-3.0667,36.33,31,87,2.91,BF,1686586705
272,hermanus,-34.4187,19.2345,12.11,74,89,8.7,ZA,1686586650
273,kayyerkan,69.3786,87.7439,8.11,91,98,4.02,RU,1686586705
274,bor,56.3567,44.0669,17.96,55,6,3.47,RU,1686586705
275,namtsy,62.7161,129.6658,5.23,63,99,6.07,RU,1686586650
276,port douglas,-16.4833,145.4667,21.39,84,35,2.3,AU,1686586705
277,kembe,4.6228,21.8865,25.0,83,40,1.71,CF,1686586705
